Accuracy,Precision,Recall,F1-score,Balanced Accuracy,ROC-AUC,Dataset,Seed,Split,Method,Training Time (s)
0.8333333333333334,0.875,0.75,0.8076923076923077,0.828125,0.8560267857142857,Heart Disease,11,Non-IID,Centralised LR,0.0025129318237304688
0.8166666666666667,0.8695652173913043,0.7142857142857143,0.7843137254901961,0.8102678571428572,0.8493303571428571,Heart Disease,11,Non-IID,Federated LR (FedAvg),0.08831930160522461
0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.8482142857142857,0.9118303571428572,Heart Disease,22,Non-IID,Centralised LR,0.0016548633575439453
0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.8482142857142857,0.9207589285714286,Heart Disease,22,Non-IID,Federated LR (FedAvg),0.09288883209228516
0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.8482142857142857,0.9241071428571428,Heart Disease,33,Non-IID,Centralised LR,0.0016777515411376953
0.8666666666666667,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8660714285714286,0.9263392857142858,Heart Disease,33,Non-IID,Federated LR (FedAvg),0.08796334266662598
0.7666666666666667,0.7916666666666666,0.6785714285714286,0.7307692307692307,0.7611607142857143,0.8426339285714286,Heart Disease,44,Non-IID,Centralised LR,0.0016527175903320312
0.7833333333333333,0.8260869565217391,0.6785714285714286,0.7450980392156863,0.7767857142857143,0.8426339285714286,Heart Disease,44,Non-IID,Federated LR (FedAvg),0.09398627281188965
0.9,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8995535714285714,0.9553571428571428,Heart Disease,55,Non-IID,Centralised LR,0.0016238689422607422
0.9166666666666666,0.9259259259259259,0.8928571428571429,0.9090909090909091,0.9151785714285714,0.9564732142857143,Heart Disease,55,Non-IID,Federated LR (FedAvg),0.08680272102355957
